1 16613U          86053.07627914 -.00000008  00000+0  00000+0 0    05
2 16613  98.7170 338.9603 0001836  90.2697 269.8639 14.20032225 30618
1 16613U 86019A   86267.84283633 -.00000008  00000-0  76619-6 0  2545
2 16613  98.7185 340.9049 0001731  88.5198 271.6255 14.20032460 30897
1 16613U 86019A   86268.82928451 -.00000008  00000-0  76619-6 0  2559
2 16613  98.7169 341.8770 0001876  78.6176 281.5236 14.20023348 31037
1 16613U 86019A   86269.53389470  .00000751  00000-0  36152-3 0  2571
2 16613  98.7164 342.5710 0001876  76.5896 283.5835 14.20034791 31132
1 16613U 86019A   86269.81572992  .00000750  00000-0  36152-3 0  2585
2 16613  98.7170 342.8494 0001810  78.8238 281.3128 14.20034614 31173
1 16613U 86019A   86270.87263724  .00000749  00000-0  36152-3 0  2604
2 16613  98.7168 343.8905 0001890  87.1259 272.9963 14.20027947 31323
1 16613U 86019A   86271.92955261  .00000750  00000-0  36152-3 0  2630
2 16613  98.7146 344.9303 0002218  82.3662 277.7885 14.20049225 31478
1 16613U 86019A   86272.98644653  .00000274  00000-0  13749-3 0  2646
2 16613  98.7178 345.9707 0001749  76.5294 283.5531 14.20033430 31627
1 16613U 86019A   86273.90244444 -.00000001  00000-0  40611-5 0  2653
2 16613  98.7179 346.8757 0001487  59.1823 300.9503 14.20033492 31752
1 16613U 86019A   86274.88889223 -.00000000  00000-0  40599-5 0  2677
2 16613  98.7182 347.8463 0001762  72.0781 288.0624 14.20033928 31893
1 16613U 86019A   86275.87533989  .00000029  00000-0  18174-4 0  2686
2 16613  98.7176 348.8165 0001711  70.6721 289.4638 14.20033539 32033
1 16613U 86019A   86276.93224832  .00000029  00000-0  18174-4 0  2701
2 16613  98.7180 349.8583 0001683  62.5839 297.5443 14.20032325 32183
1 16613U 86019A   86277.91869815  .00001162  00000-0  55475-3 0  2710
2 16613  98.7107 350.8136 0004245 121.2982 238.8771 14.20034243 32326
1 16613U 86019A   86279.89159485  .00000204  00000-0  99999-4 0  2732
2 16613  98.7165 352.7736 0001570  73.7526 286.4023 14.20034153 32600
1 16613U 86019A   86280.94850125  .00000204  00000-0  99999-4 0  2740
